global_position,country_code,team_name,country,global_pnl
5539,IN,Trackheads,India,0.0
5539,IN,Prashant Singh,India,0.0
5539,IN,NEOGENESIS,India,0.0
5539,IN,solo856,India,0.0
5539,IN,Dark Warriors,India,0.0
5539,IN,Ash_sha,India,0.0
5539,NL,Delft Quantive,Netherlands,0.0
5539,IN,kagent007,India,0.0
5539,IN,Ticks,India,0.0
5539,IT,OM,Italy,0.0
5539,GB,KokaCapital,United Kingdom,0.0
5539,IN,Capital Coders,India,0.0
5539,IN,Cyber_Codex,India,0.0
5539,IN,ZealX,India,0.0
5539,AU,Very prosperous,Australia,0.0
5539,GB,xyzzy,United Kingdom,0.0
5539,IN,Trading_queen,India,0.0
5539,IN,Romir,India,0.0
5539,IN,profit_prophets,India,0.0
5539,IN,TechSpark,India,0.0
5539,VN,Kyoruta,Vietnam,0.0
5539,GB,SAA,United Kingdom,0.0
5539,US,So Many Sigmas,United States,0.0
5539,LB,Frotress Holdings,Lebanon,0.0
5539,IN,opamp,India,0.0
5539,IN,Minus0,India,0.0
5539,IN,gg4013,India,0.0
5539,IN,The Raptors,India,0.0
5539,IT,IsmaeleVilla,Italy,0.0
5539,IN,J-DI,India,0.0
5539,IN,NURAxY,India,0.0
5539,IN,genz_trader,India,0.0
5539,IN,BinaryX,India,0.0
5539,IN,DeepTrade,India,0.0
5539,IN,Eco,India,0.0
5539,IN,Stronger Than Ever,India,0.0
5539,IN,Santrik,India,0.0
5539,IN,Galaxy_trade,India,0.0
5539,ID,rzi,Indonesia,0.0
5539,IN,Mavericks_,India,0.0
5539,IN,The_Wraith,India,0.0
5539,IN,BULIDERS,India,0.0
5539,IN,cosmic6trader9,India,0.0
5539,IN,Team ERA,India,0.0
5539,VN,QuantTitans,Vietnam,0.0
5539,IN,Lagrange Point,India,0.0
5539,IN,SRKR,India,0.0
5539,IN,Grace,India,0.0
5539,IN,Suryavanshi,India,0.0
5539,IN,Ascendio,India,0.0
5539,IN,vijay paadav,India,0.0
5539,IN,Lazy Sloth,India,0.0
5539,IN,Silent reapers,India,0.0
5539,IN,Reaper,India,0.0
5539,IN,Black squad,India,0.0
5539,IN,Geethika_123,India,0.0
5539,IN,lukarp,India,0.0
5539,TW,u1f250,Taiwan,0.0
5539,IN,Visky is dumb,India,0.0
5539,IN,Laadle,India,0.0
5539,IN,Copy_paste,India,0.0
5539,IN,Diablo23,India,0.0
5539,IN,Simmu,India,0.0
5539,IN,team vah,India,0.0
5539,IN,Extraterrestrial,India,0.0
5539,IN,GBU,India,0.0
5539,IN,ANMA,India,0.0
5539,IN,Qauntstar,India,0.0
5539,IN,Simply,India,0.0
5539,IT,LorDim,Italy,0.0
5539,IN,DClogs,India,0.0
5539,RU,sure sure,Russian Federation,0.0
5539,GB,JesusMC,United Kingdom,0.0
5539,IN,AtMusk,India,0.0
5539,IN,Turings Titans,India,0.0
5539,GB,Nameer,United Kingdom,0.0
5539,IN,Orange_colour,India,0.0
5539,IN,Harsh Chauhan 2,India,0.0
5539,IE,test1234567,Ireland,0.0
5539,IN,tochasticOne,India,0.0
5539,IN,Alphas07,India,0.0
5539,IN,team_Ajay,India,0.0
5539,IN,Krazy8,India,0.0
5539,IN,StochasticOne,India,0.0
5539,IN,Intergalactic Traders,India,0.0
5539,IN,Cyani2048,India,0.0
5539,FR,Randommmmm,France,0.0
5539,GB,Oliver Babcock,United Kingdom,0.0
5539,IN,LoneXtrader,India,0.0
5539,IN,TheTriad,India,0.0
5539,IN,ASCE,India,0.0
5539,US,Blonde Assasin,United States,0.0
5539,IN,Sigma Syndicate,India,0.0
5539,IN,Alpha Trion,India,0.0
5539,IN,Joga Bonita,India,0.0
5539,NL,Qu,Netherlands,0.0
5539,IN,Lambda Oracle,India,0.0
5539,IN,U67,India,0.0
5539,NL,amaze_amaze_amaze,Netherlands,0.0
5539,IN,4fwortywo,India,0.0
5539,IN,Cosmonarcos,India,0.0
5539,CA,Tanveer Parhar,Canada,0.0
5539,IN,Team Hackers,India,0.0
5539,IN,xandy,India,0.0
5539,IN,One1,India,0.0
5539,IN,Meoww,India,0.0
5539,VN,DoNamTrung,Vietnam,0.0
5539,IN,bots_here,India,0.0
5539,IN,Quester,India,0.0
5539,IN,MA,India,0.0
5539,US,JulianPrints,United States,0.0
5539,IN,Geeks,India,0.0
5539,IN,Team Eco,India,0.0
5539,IN,GUASS,India,0.0
5539,GB,Aidan,United Kingdom,0.0
5539,IN,SKAR,India,0.0
5539,IN,Ppp,India,0.0
5539,IN,Aurapal,India,0.0
5539,IN,RiskArchs,India,0.0
5539,GB,CMI Itrading,United Kingdom,0.0
5539,CN,Die_Pi,China,0.0
5539,DE,YellowMacro,Germany,0.0
5539,IN,Astro_Arbitrage,India,0.0
5539,IN,TEAM UTHAL,India,0.0
5539,IN,Narayani sena,India,0.0
5539,IN,tsar,India,0.0
5539,IN,Game_changers_,India,0.0
5539,IN,Pxs,India,0.0
5539,IN,Rocky4,India,0.0
5539,IN,noteam,India,0.0
5539,IN,Maybe_Deterministic,India,0.0
5539,FR,AMS1,France,0.0
5539,IN,Kaju_Katli_Paglu,India,0.0
5539,VN,VNQuant,Vietnam,0.0
5539,IN,So-ham,India,0.0
5539,IN,Crazyyy,India,0.0
5539,GB,Optionsgod,United Kingdom,0.0
5539,DE,Club-G,Germany,0.0
5539,IN,Argand_plane,India,0.0
5539,GB,Cent,United Kingdom,0.0
5539,IN,Curious_us,India,0.0
5539,RU,Capybars,Russian Federation,0.0
5539,IN,Velox,India,0.0
5539,FI,r108,Finland,0.0
5539,IN,BMK SimOpt,India,0.0
5539,IN,ShadowAlphaX,India,0.0
5539,IN,NAM_IMC,India,0.0
5539,IN,plutoKi,India,0.0
5539,IN,GenZ Traders,India,0.0
5539,IN,Hotel Laxmi Veg,India,0.0
5539,IN,Risk Runner,India,0.0
5539,ES,Trading Trader,Spain,0.0
5539,IN,Sheplusplus,India,0.0
5539,US,Gregory MIchelis,United States,0.0
5539,IN,artemis_gamble,India,0.0
5539,IN,East India Company kkkk,India,0.0
5539,IN,GOLLAPELLI RITHIKA,India,0.0
5539,IN,COLD FUSION,India,0.0
5539,RU,Ruslan,Russian Federation,0.0
5539,IN,REVERSAL,India,0.0
5539,IN,hdjs,India,0.0
5539,IN,yeehaw,India,0.0
5539,IN,Glitch Goblins,India,0.0
5539,US,teamAryamann,United States,0.0
5539,SG,frieren,Singapore,0.0
5539,IN,ogasily,India,0.0
5539,IN,Realm,India,0.0
5539,IN,pips,India,0.0
5539,IN,CRINZE,India,0.0
5539,US,Trial two,United States,0.0
5539,IN,The Quants,India,0.0
5539,GB,Winnable,United Kingdom,0.0
5539,IN,Shahtechfaiz,India,0.0
5539,ES,Aficalipsis,Spain,0.0
5539,IN,IITD_AM,India,0.0
5539,IN,Zenith Zephyrs,India,0.0
5539,CA,Chicken Banana,Canada,0.0
5539,ES,A-SQUARED,Spain,0.0
5539,IN,hehe737,India,0.0
5539,IN,ProjectTrail,India,0.0
5539,IN,Profit Engine,India,0.0
5539,IN,Zero_prosperity,India,0.0
5539,IN,Trade Bugs,India,0.0
5539,IN,AK30,India,0.0
5539,GB,Poker,United Kingdom,0.0
5539,IN,Fortune Forge,India,0.0
5539,FR,Hunt,France,0.0
5539,IN,GrindXpert,India,0.0
5539,IN,Sriman Thirupathi,India,0.0
5539,IN,Spandan Agrawal,India,0.0
5539,FR,HappyTeam,France,0.0
5539,GB,First Principle,United Kingdom,0.0
5539,IN,QuantVaunt,India,0.0
5539,IN,TeamAbhinav2205,India,0.0
5539,IN,orange_color_chahiye,India,0.0
5539,CN,Insider,China,0.0
5539,AL,1po,Albania,0.0
5539,IN,bsds3,India,0.0
5539,GB,Hello5757,United Kingdom,0.0
5539,IN,QunatRa,India,0.0
5539,IN,Astrop,India,0.0
5539,IN,Solo_Trading,India,0.0
5539,IN,Hola_Amigo,India,0.0
5539,IN,Baddy baddie,India,0.0
5539,IN,Hee hee,India,0.0
5539,IN,MRTRADER,India,0.0
